ODF25 Comdty,ODF27 Comdty,GOOG Equity,GOOGL Equity,PETR4 Equity
12.09,,26.169,26.478,9.36
12.13,,25.623,25.973,8.61
12.01,,25.029,25.332,8.33
12.12,,24.986,25.258,8.67
12.14,,25.065,25.346,9.18
11.96,,24.741,25.036,9.4
12.09,,24.56,24.853,8.91
12.02,,24.741,25.09,9.0
12.02,,24.975,25.297,8.74
11.97,,25.021,25.2,9.34
11.85,,25.334,25.523,9.44
11.95,,,,9.19
11.71,,25.276,25.497,9.32
11.67,,25.831,26.02,9.82
11.71,,26.646,26.865,10.25
11.52,,26.924,27.098,10.0
11.58,,26.687,26.836,9.91
11.58,,25.86,26.06,10.17
11.64,,25.43,25.621,9.03
11.66,,25.463,25.662,8.75
11.78,,26.653,26.877,8.18
11.99,,26.352,26.61,8.66
11.92,,26.39,26.665,10.0
12.02,,26.066,26.305,10.02
12.13,,26.307,26.492,9.8
12.3,,26.477,26.694,9.12
12.43,,26.319,26.464,9.28
12.49,,26.773,27.008,8.92
12.65,,26.725,26.9,9.03
12.41,,27.072,27.301,9.5
12.47,,27.375,27.558,9.99
,,27.068,27.251,
12.6,,26.911,27.133,10.12
12.66,,27.069,27.323,9.75
12.78,,26.874,27.09,9.67
12.62,,26.523,26.75,9.49
12.48,,26.731,26.932,9.86
12.54,,27.119,27.367,9.38
12.48,,27.698,27.964,9.27
12.17,,27.844,28.132,9.57
12.39,12.39,28.489,28.751,9.4
12.4,12.4,28.603,28.94,9.6
12.53,,28.59,28.917,9.21
12.68,12.68,28.688,29.072,9.28
12.82,12.82,28.307,28.645,9.24
13.18,,28.365,28.705,8.91
13.02,,27.675,27.993,8.55
13.06,,27.484,27.785,8.79
13.28,,27.699,28.059,8.5
13.29,,27.291,27.65,8.3
13.26,,27.65,28.082,8.46
13.0,,27.467,27.881,8.89
12.84,,27.898,28.308,9.27
13.16,,27.823,28.184,8.9
13.07,,27.941,28.248,9.35
12.97,,27.864,28.269,9.35
12.97,,28.431,28.877,9.39
12.97,,27.863,28.35,9.84
13.04,,27.682,28.182,9.35
13.11,,27.342,27.877,9.38
13.04,,27.526,28.057,9.72
12.93,,27.325,27.735,9.73
12.74,,27.054,27.475,10.21
12.74,,26.703,27.065,10.72
12.71,,26.765,27.198,10.69
12.67,,26.777,27.243,10.89
12.49,,27.006,27.442,10.6
12.57,,26.965,27.401,11.56
12.45,,26.927,27.427,11.82
12.54,,26.885,27.432,12.27
12.4,,26.447,26.989,12.49
12.4,,26.554,27.052,13.33
12.48,,26.617,27.176,12.93
12.5,,26.131,26.637,13.01
12.54,,26.696,27.226,13.09
,,26.625,27.146,
12.5,,26.894,27.459,13.12
12.5,,27.275,27.873,12.92
12.56,,28.176,28.683,13.26
12.53,,27.769,28.306,12.58
12.56,,27.684,28.219,12.78
12.56,,27.454,28.069,12.82
12.69,,26.867,27.438,13.05
,,26.895,27.558,
12.8,,27.039,27.642,13.8
12.82,,26.54,27.152,14.38
12.86,,26.211,26.754,13.64
12.81,,26.535,27.102,13.7
12.61,,26.911,27.448,13.52
12.71,,26.785,27.289,13.72
12.72,,26.452,26.937,13.79
12.67,,26.481,26.975,13.97
12.52,,26.92,27.46,13.89
12.4,,26.693,27.325,14.06
12.52,,26.615,27.333,13.78
12.5,,26.868,27.464,12.91
12.37,,26.964,27.626,12.89
12.33,,27.126,27.841,13.45
12.14,,27.006,27.726,13.08
12.25,,,,12.8
12.31,,26.616,27.36,12.39
12.38,,26.99,27.713,12.55
12.21,,26.989,27.709,12.67
12.22,,26.606,27.266,12.33
12.28,,26.7,27.461,12.37
12.36,,26.959,27.698,12.84
12.43,,27.015,27.765,12.83
,,26.835,27.585,
12.52,,26.667,27.476,12.56
12.43,,26.342,27.174,12.57
12.42,,26.335,27.108,12.97
12.65,,26.835,27.63,13.05
12.68,,26.731,27.502,13.05
12.59,,26.617,27.374,13.02
12.76,,26.36,27.15,12.99
12.71,,26.408,27.244,13.35
12.65,,26.463,27.33,13.19
12.56,,26.837,27.809,13.44
12.6,,26.835,27.876,13.17
12.51,,26.91,27.984,13.2
12.52,,27.024,28.17,12.97
12.53,,26.892,27.929,13.2
12.69,,26.762,27.898,12.6
12.55,,26.585,27.653,13.21
12.62,,26.076,27.063,12.75
12.58,,26.026,27.002,12.71
12.63,,26.092,27.165,12.18
12.48,,26.17,27.367,12.3
12.49,,,,11.73
12.59,,26.143,27.281,11.48
12.57,,26.251,27.502,11.78
12.62,,25.842,27.085,11.55
,,26.034,27.232,
12.58,,26.507,27.806,11.79
12.57,,27.327,28.587,11.82
12.56,,28.055,29.209,12.0
12.51,,28.011,29.198,11.8
12.58,,28.993,30.089,11.92
12.58,,33.646,34.981,11.4
12.51,,33.151,34.642,10.79
12.33,,33.115,34.768,10.77
12.45,,33.105,34.755,10.36
13.03,,32.214,33.737,10.17
13.07,,31.178,32.739,10.04
13.04,,31.363,32.914,9.51
13.06,,31.4,32.983,9.97
13.13,,31.597,33.072,10.72
12.98,,31.63,33.228,10.47
12.95,,31.281,32.875,10.5
13.15,,31.561,33.236,10.02
13.15,,31.463,33.064,10.18
13.32,,32.189,33.665,10.01
13.72,,32.134,33.508,10.32
13.8,,31.765,33.22,9.69
13.68,,31.687,33.157,9.95
13.65,,33.039,34.515,9.83
13.44,,32.978,34.574,9.88
13.48,,32.823,34.326,9.51
13.51,,32.856,34.469,9.3
13.63,,33.044,34.706,9.12
13.63,,32.807,34.437,9.0
13.68,,33.045,34.702,8.79
13.75,,32.342,33.974,8.73
13.89,,30.624,32.201,8.3
14.1,,29.481,30.906,7.76
14.1,,29.103,30.624,7.9
13.92,,31.431,32.987,8.11
13.88,,31.881,33.398,8.89
13.82,,31.519,32.985,9.0
14.22,,30.913,32.391,9.19
14.49,,29.89,31.478,8.59
14.72,,30.717,32.246,8.82
14.7,,30.313,31.853,8.76
15.07,,30.035,31.448,8.51
14.87,,30.733,32.194,8.64
14.85,,30.636,32.17,8.39
15.21,,31.068,32.554,7.97
15.15,,31.289,32.765,7.66
15.04,,31.162,32.624,7.72
15.01,,31.757,33.254,7.65
15.05,,31.799,33.276,8.14
15.26,,32.145,33.584,7.86
15.78,,31.463,33.046,7.6
15.82,,31.772,33.349,7.3
16.15,,31.135,32.66,6.97
16.75,,31.118,32.664,6.82
15.95,,31.29,32.746,6.96
15.74,,30.599,32.008,6.82
16.36,,29.745,31.213,6.44
16.09,,29.749,31.131,6.59
15.57,,30.421,31.919,7.24
15.62,,30.565,32.1,7.02
15.23,,31.345,32.85,7.77
15.29,,32.074,33.584,7.82
15.25,,32.272,33.582,8.19
15.55,,32.118,33.5,8.47
15.37,,31.958,33.35,8.75
15.66,,32.181,33.562,8.8
,,32.334,33.822,
15.94,,32.615,34.159,8.13
15.95,,32.558,34.021,7.96
15.75,,33.087,34.651,8.0
15.8,,33.11,34.766,7.95
15.84,,33.305,34.998,7.95
15.81,,32.514,34.0,8.05
15.83,,32.13,33.59,7.75
15.86,,32.59,34.057,8.02
